
2,94
3,96
4,96
5,97
6,97
7,96
8,92
9,53
10,49
11,64
12,70
13,63
14,64
15,66
16,55
17,58
18,90
19,95
20,95
21,96
22,95
23,96
24,95
25,95
26,87
27,92
28,87
29,87
30,83
31,86
32,89
33,86
34,83
35,88
36,86
37,87
38,78
39,69
40,79
41,76
42,64
43,70
44,65
45,58
46,68
47,67
48,66
49,65
50,72
51,67
52,64
53,72
54,78
55,75
56,70
57,57
58,57
59,65
60,68
61,62
62,62
63,66
64,64
65,55
66,53
67,57
69,23
70,59
71,58
72,24
73,54
75,63
76,54
77,58
78,53
79,52
80,63
81,55
82,54
83,51
84,57
85,53
86,52
89,59
90,72
91,63
92,78
93,69
94,65
95,69
96,72
97,62
98,72
99,68
100,65
101,67
102,77
103,56
104,74
105,64
106,53
107,60
115,53
116,51
